id,title,author,summary,rating,genre,format,description,serialize,potenup,link
718481,교환일기,puch****,왕따소녀의 교환일기,9.63,drama,스토리,왕따소녀의 교환일기,True,False,https://comic.naver.com/bestChallenge/list?titleId=718481
717622,시선이 교차하는 곳,bara****,과거와 미래를 보다,9.69,drama,스토리,"과거를 보는 소녀, 미래를 보는 소년",False,False,https://comic.naver.com/bestChallenge/list?titleId=717622
689019,병,usan****,소년에서 군인으로,9.78,drama,스토리,중학생 문석호가 군인이 되었습니다.,True,False,https://comic.naver.com/bestChallenge/list?titleId=689019
704177,B텐더,luck****,술과 사람의 이야기,9.8,drama,옴니버스,"술과 사람의 이야기.

격주 월요일 연재합니다 :D",False,False,https://comic.naver.com/bestChallenge/list?titleId=704177
726658,나라면 절대 안그래,k_on****,나라면 절대 안그래,9.5,drama,스토리,사고 후 해리성 인격 장애(다중인격)를 판정 받은 한소리의 진짜 '나' 찾기,False,False,https://comic.naver.com/bestChallenge/list?titleId=726658
717541,가려진 대화,xote****,익명으로 보는 내면,9.88,drama,스토리,"익명성이 보장되는 반톡을 사용하게 된 2반 학생들

학교에서 화목한 친구들의 모습과 다르게 추악해지는 톡방 그 괴리감에 헤엄친다.

격주로 연재가 진행될 것 같습니다",False,False,https://comic.naver.com/bestChallenge/list?titleId=717541
693373,힘내라 봉산댁!,kar_****,촌에도 청춘은 있다!,9.9,drama,에피소드,1%경험과 99%판타지가 섞인 농촌 만화입니다!(자유연재),False,False,https://comic.naver.com/bestChallenge/list?titleId=693373
698963,고향집,wu****,아늑하고 편안해야할,9.83,drama,스토리,고향을 버리고 떠났던 죄책감으로 악몽에 시달리던 민석. 어느날 자신의 고향인 연무골에서 의문의 괴사건이 언론에 보도 되고 연무골을 다시 찾는데... 그곳에서 마주한 것은 기이하게 변해버린 주민들과 어머니였다.,False,False,https://comic.naver.com/bestChallenge/list?titleId=698963
723191,유포리아,chu2****,댄싱 학원물,9.74,drama,스토리,삶의 리듬을 함께 느끼며 성장하는 댄스부 부원들의 청춘 이야기.,False,False,https://comic.naver.com/bestChallenge/list?titleId=723191
664628,미용사,yull****,전직용사 현직미용사,9.79,drama,스토리,"용사가 마왕을 무찌르고 세상은 빠르게 회복하고 발전한다. 
그러나 평화만이 가득할 것 같은 세상에서 새로운 역경과 난관에 부딪히게 되는데...
끝나지 않은 용사와 동료들의 이야기!",False,False,https://comic.naver.com/bestChallenge/list?titleId=664628
719694,지독한악연,full****,내 인생에서 꺼져,8.44,drama,스토리,자고 일어나 보니 내 보호자가 2살 꼬마라고? 사사건건 시비에 왜 연애는 못하게 하는 건데? 할려면 25살 이후에 하라고? 너 미친거니?,False,False,https://comic.naver.com/bestChallenge/list?titleId=719694
706147,방안의 코끼리,yo****,친구충과 직진연하남,9.81,drama,스토리,짝사랑만 8년째 인 한 여름. 그녀에게 나타난 직진 연하남?,True,False,https://comic.naver.com/bestChallenge/list?titleId=706147
686585,우주광부,dagk****,"죽음, 그리고 우주",9.7,drama,스토리,"어느 겨울, 한 소년이 죽었다. 그 소년이 가게 된 곳은 다름 아닌 우주.  소년에겐 어떤 사연이 있을까?
'자유연재'",False,False,https://comic.naver.com/bestChallenge/list?titleId=686585
710246,악마의 성불사무소,lims****,악마와 소년,9.89,drama,스토리,"성불시켜야 사는 악마, 지옥으로 가고 싶은 소년의 미스터리 활극.",False,False,https://comic.naver.com/bestChallenge/list?titleId=710246
714775,취사병 전설이 되다,leej****,군대요리 판타지만화,9.89,drama,스토리,"대한민국 대표 흙수저, 강성재.
군 입대 전, 배관공으로 일하며, 실질적 가장으로 삶을 마주했다. 고질병인 허리디스크를 앓고 있는 아버지와 어린 여동생 민지를 책임져야 하는 그에게, 군 입대는 너무나 가혹했다.
하지만, 그에게도 희망이 펼쳐지는데...
[요리사의 길 튜토리얼]의 사용자로 발탁된 주인공이 자신의 운명을 극복하는 인생성공기가 지금 시작된다.
'제이로빈' 소설원작의 군대 요리 판타지 만화
 (본 만화는 원작 작가님과 협업하여 개인적으로 계약하여 제작중인 만화입니다. / 본 만화의 판권 및 저작권은 어떤 회사와도 연관이 없습니다.)",True,False,https://comic.naver.com/bestChallenge/list?titleId=714775
724547,인생막장,dhkd****,정식 연재 협의 중,9.02,drama,스토리,"(정식 연재 협의 중) 막장으로 질주하는 진광의 인생 이야기, 인생막장!",False,False,https://comic.naver.com/bestChallenge/list?titleId=724547
